method,model,test_container,true_rate,estimated_rate,absolute_error
adaptive,ridge,smooth_dark,35.0,41.92568057676021,6.925680576760207
adaptive,ridge,smooth_dark,60.0,71.75875546437304,11.758755464373039
adaptive,ridge,smooth_dark,85.0,92.39174738633761,7.391747386337613
adaptive,random_forest,smooth_dark,15.0,28.758222222222223,13.758222222222223
adaptive,random_forest,smooth_dark,35.0,48.46100793650793,13.461007936507933
adaptive,random_forest,smooth_dark,60.0,62.90783333333331,2.9078333333333077
adaptive,random_forest,smooth_dark,85.0,82.93119047619048,2.06880952380952
adaptive,ridge,texture_nature,15.0,24.606946473663857,9.606946473663857
adaptive,ridge,texture_nature,35.0,34.74580950578033,0.2541904942196709
adaptive,ridge,texture_nature,60.0,53.207876533475435,6.792123466524565
adaptive,ridge,texture_nature,85.0,75.60117777332374,9.398822226676259
adaptive,random_forest,texture_nature,15.0,43.774357142857134,28.774357142857134
adaptive,random_forest,texture_nature,35.0,47.582690476190464,12.582690476190464
adaptive,random_forest,texture_nature,60.0,52.3570238095238,7.6429761904761975
adaptive,random_forest,texture_nature,85.0,74.0015476190476,10.9984523809524
adaptive,ridge,photo_mixed,15.0,20.044197475212698,5.044197475212698
adaptive,ridge,photo_mixed,35.0,32.33064158828719,2.669358411712807
adaptive,ridge,photo_mixed,60.0,55.48295291070134,4.517047089298657
adaptive,ridge,photo_mixed,85.0,79.13667595108775,5.863324048912247
adaptive,random_forest,photo_mixed,15.0,24.35029365079366,9.35029365079366
adaptive,random_forest,photo_mixed,35.0,27.89319841269842,7.106801587301579
adaptive,random_forest,photo_mixed,60.0,52.137630952380945,7.862369047619055
adaptive,random_forest,photo_mixed,85.0,77.54391666666665,7.456083333333353
adaptive,ridge,graphics,15.0,0.0,15.0
adaptive,ridge,graphics,35.0,23.431482478460204,11.568517521539796
adaptive,ridge,graphics,60.0,51.173283574394496,8.826716425605504
adaptive,ridge,graphics,85.0,77.50399811483106,7.496001885168937
adaptive,random_forest,graphics,15.0,25.451650793650803,10.451650793650803
adaptive,random_forest,graphics,35.0,29.256888888888902,5.743111111111098
adaptive,random_forest,graphics,60.0,34.21226984126986,25.78773015873014
adaptive,random_forest,graphics,85.0,80.7436904761905,4.256309523809506
