container,method,rate,mean_r_m,mean_s_m,mean_r_neg_m,mean_s_neg_m,gap_m,gap_neg_m,gap_ratio,r_difference,s_difference,r_gap_m,g_gap_m,b_gap_m,r_gap_neg_m,g_gap_neg_m,b_gap_neg_m
texture_nature,random,15,0.55464964874031,0.4453503512596899,0.5661100638929263,0.42128262778585274,0.10929929748062013,0.14482743610707363,0.7546864076210885,-0.01146041515261631,0.024067723473837177,0.10836058624031007,0.10830570191375968,0.11123160428779069,0.14282983587693798,0.1459525648013566,0.14569990764292637
texture_nature,adaptive,15,0.5636301755289083,0.4363698244710917,0.5586221384447674,0.4285185269299096,0.12726035105781652,0.1301036115148579,0.9781461834615047,0.005008037084140882,0.007851297541182078,0.12502838844476744,0.1253860828488372,0.13136658187984496,0.12893936985222867,0.13173468538032945,0.1296367793120155
texture_nature,sequential,35,0.536327115633075,0.46367288436692505,0.5835509780765504,0.4030651319242571,0.07265423126614988,0.18048584615229327,0.40254808238450185,-0.04722386244347543,0.06060775244266797,0.06881169755329457,0.07169217841569768,0.07745881782945736,0.1799552976623062,0.1818904433139535,0.17961179748062014
texture_nature,random,35,0.5412685975855943,0.45873140241440574,0.5783432755975452,0.41020577206476094,0.08253719517118863,0.16813750353278423,0.4908910471309284,-0.03707467801195086,0.0485256303496448,0.08306837451550388,0.08273149830426356,0.08181171269379844,0.16546772801598839,0.16850529160610464,0.17043949097625968
texture_nature,adaptive,35,0.5572096556040051,0.44279034439599485,0.5654028761910529,0.42288815205103364,0.11441931120801034,0.1425147241400194,0.8028595774819339,-0.008193220587047745,0.01990219234496121,0.11405909338662791,0.11253747274709303,0.11666136749031007,0.13979511113129844,0.14398429929748063,0.14376476199127908
texture_nature,sequential,60,0.5246553642805232,0.47534463571947666,0.5955791621245156,0.3932193884245801,0.04931072856104651,0.2023597736999354,0.24367851208494534,-0.07092379784399239,0.08212524729489656,0.04808813287306202,0.04900791848352713,0.05083613432655039,0.20008175872093023,0.20234999545784885,0.20464756692102712
texture_nature,random,60,0.5245011203972868,0.47549887960271314,0.5938645000605621,0.3960617026001292,0.04900224079457365,0.19780279746043283,0.24773279965555461,-0.06936337966327533,0.07943717700258396,0.048826232437015504,0.051350911458333336,0.046829578488372096,0.1951885371245155,0.19708488523498063,0.20113497002180233
texture_nature,adaptive,60,0.5428873697916666,0.4571126302083333,0.5797671138162145,0.4098102264010013,0.08577473958333333,0.16995688741521317,0.5046852815901561,-0.036879744024547856,0.04730240380733203,0.08651662427325581,0.08496661518895349,0.08584097928779069,0.16642063347868216,0.17047734223594962,0.17297268653100775
texture_nature,sequential,85,0.5146203644823967,0.4853796355176034,0.6058251826954134,0.38582924539728686,0.02924072896479328,0.2199959372981266,0.1329148589010888,-0.09120481821301674,0.09955039012031652,0.028138626453488372,0.02850956879844961,0.03107399164244186,0.21714605287063954,0.21955812439437986,0.22328363462936046
texture_nature,random,85,0.5088748586886305,0.49112514131136953,0.6097762233527132,0.3814388147004199,0.01774971737726098,0.22833740865229327,0.07773460109766694,-0.10090136466408273,0.10968632661094962,0.019035398498062017,0.017517562984496124,0.016696190649224806,0.2245913956516473,0.22825918271560078,0.2321616475896318
texture_nature,adaptive,85,0.5195766715116279,0.4804233284883721,0.6013991087290051,0.3888687015503876,0.039153343023255814,0.21253040717861757,0.18422466480455219,-0.08182243721737725,0.0915546269379845,0.04034565770348837,0.038008342417635656,0.03910602894864341,0.20828318041424418,0.2129067117853682,0.21640132933624032
photo_mixed,sequential,15,0.5685590403948644,0.4314409596051357,0.5976433174862726,0.39654462158833975,0.13711808078972867,0.20109869589793283,0.6818447040517986,-0.02908427709140826,0.034896338016795925,0.13175644985465115,0.13437007933624032,0.14522771317829458,0.205081910125969,0.19906734496124032,0.19914683260658914
photo_mixed,random,15,0.572612910307655,0.427387089692345,0.5941070635497415,0.4004051346495478,0.14522582061531006,0.1937019289001938,0.7497386393614006,-0.021494153242086478,0.026981955042797212,0.1409069918846899,0.14239833151647288,0.15237213844476744,0.19696943889292637,0.19149709302325582,0.19263925478439922
photo_mixed,adaptive,15,0.5831825591489018,0.4168174408510981,0.5862854161619832,0.4082993302850452,0.16636511829780362,0.17798608587693798,0.9347085615042444,-0.0031028570130813282,0.008518110566052894,0.16163812681686046,0.16368966509205427,0.17376756298449614,0.18206077398255813,0.17575475411821706,0.17614272953003876
photo_mixed,sequential,35,0.5549089298691859,0.44509107013081395,0.6096377508276809,0.38464733981346894,0.10981785973837209,0.22499041101421188,0.4881001783290901,-0.05472882095849496,0.06044373031734501,0.10531545239825581,0.10772089995155039,0.11641722686531007,0.22835664970930233,0.22259474170300386,0.22401984163032945
photo_mixed,random,35,0.5543332752947351,0.44566672470526486,0.609344718992248,0.3855929904513889,0.10866655058947028,0.22375172854085915,0.4856568094383537,-0.055011443697512874,0.060073734253875966,0.10473065043604651,0.10641503149224807,0.11485396984011628,0.22677635961724807,0.22196073310319767,0.2225180929021318
photo_mixed,adaptive,35,0.5738465459463825,0.4261534540536176,0.5952974856669896,0.3997181342861757,0.14769309189276483,0.19557935138081395,0.7551568754576272,-0.021450939720607076,0.0264353197674419,0.1427768441133721,0.14610964752906977,0.1541927840358527,0.1997486676356589,0.19248595718265504,0.1945034293241279
photo_mixed,sequential,60,0.5415162079093991,0.4584837920906008,0.6222658773417312,0.37222771065487725,0.08303241581879844,0.250038166686854,0.3320789658595907,-0.08074966943233208,0.08625608143572355,0.0779338511385659,0.08245896923449612,0.08870442708333333,0.25426772953003873,0.2462356922238372,0.24961107830668605
photo_mixed,random,60,0.5325981356992894,0.46740186430071057,0.6283637152777778,0.36706858395914077,0.06519627139857881,0.2612951313186369,0.24951200226947617,-0.09576557957848841,0.1003332803415698,0.06174297480620155,0.06478053839631782,0.06906530099321706,0.26353182533914726,0.25879757903343026,0.2615559895833333
photo_mixed,adaptive,60,0.5512783632105943,0.44872163678940574,0.6157772251493863,0.37963930272932817,0.10255672642118863,0.23613792242005813,0.43430858275594453,-0.06449886193879195,0.06908233406007758,0.10171769016472869,0.09701277858527131,0.1089397105135659,0.23708136506782945,0.23607736040455427,0.2352550417877907
photo_mixed,sequential,85,0.5156477107558141,0.48435228924418605,0.6447419553456073,0.3513199365108204,0.031295421511627904,0.2934220188347868,0.10665669071430184,-0.12909424458979324,0.13303235273336567,0.028643940770348836,0.032063802083333336,0.03317852168120155,0.29461244095203487,0.2901261203972868,0.29552749515503873
photo_mixed,random,85,0.5122410973837209,0.48775890261627913,0.6467007580345607,0.3490737796753876,0.02448219476744186,0.2976269783591731,0.08225798246655248,-0.1344596606508398,0.13868512294089153,0.024149103682170544,0.0235851199127907,0.02571236070736434,0.2967254875242248,0.29578961512839147,0.3003658324249031
photo_mixed,adaptive,85,0.5215739563145995,0.4784260436854005,0.641128421753876,0.3543445675872093,0.04314791262919896,0.2867838541666667,0.15045446946299568,-0.1195544654392765,0.1240814760981912,0.04626559471899225,0.036244473716085274,0.04693366945251938,0.2847995018774225,0.2879581894985465,0.287593871124031
graphics,sequential,15,0.6525632873062016,0.34743671269379844,0.7131130011506782,0.28366301780523256,0.3051265746124031,0.42944998334544576,0.7105054987671567,-0.060549713844476605,0.06377369488856588,0.2883717145106589,0.3480234072189923,0.27898460210755816,0.44251813075339147,0.3986418968023256,0.4471899224806202
graphics,random,15,0.6466875100936692,0.35331248990633074,0.7135293650072674,0.2833056388283269,0.2933750201873385,0.43022372617894056,0.6819126941067789,-0.06684185491359818,0.07000685107800386,0.2734375,0.34324847080910853,0.263439089752907,0.44574495064195735,0.395027101501938,0.44989912639292634
