method,model,test_container,true_rate,estimated_rate,absolute_error
random,elastic_net,graphics,15.0,100.0,85.0
random,elastic_net,graphics,35.0,96.66132606588036,61.66132606588036
random,elastic_net,graphics,60.0,86.04534608295837,26.045346082958375
random,elastic_net,graphics,85.0,91.8415657710328,6.841565771032805
adaptive,ridge,smooth_light,15.0,23.166789241526686,8.166789241526686
adaptive,ridge,smooth_light,35.0,44.682931723127325,9.682931723127325
adaptive,ridge,smooth_light,60.0,67.23962639878062,7.239626398780615
adaptive,ridge,smooth_light,85.0,85.8434756936815,0.8434756936814978
adaptive,elastic_net,smooth_light,15.0,23.538551129474683,8.538551129474683
adaptive,elastic_net,smooth_light,35.0,44.723855178368645,9.723855178368645
adaptive,elastic_net,smooth_light,60.0,67.08419116939353,7.084191169393534
adaptive,elastic_net,smooth_light,85.0,85.60378420759285,0.6037842075928523
adaptive,ridge,smooth_dark,15.0,0.0,15.0
adaptive,ridge,smooth_dark,35.0,0.0,35.0
adaptive,ridge,smooth_dark,60.0,0.0,60.0
adaptive,ridge,smooth_dark,85.0,0.0,85.0
adaptive,elastic_net,smooth_dark,15.0,0.0,15.0
adaptive,elastic_net,smooth_dark,35.0,0.0,35.0
adaptive,elastic_net,smooth_dark,60.0,0.0,60.0
adaptive,elastic_net,smooth_dark,85.0,0.0,85.0
adaptive,ridge,texture_nature,15.0,24.769151952693434,9.769151952693434
adaptive,ridge,texture_nature,35.0,36.00515841201757,1.0051584120175718
adaptive,ridge,texture_nature,60.0,54.95324183590926,5.04675816409074
adaptive,ridge,texture_nature,85.0,77.26441188596772,7.735588114032282
adaptive,elastic_net,texture_nature,15.0,25.317419672885734,10.317419672885734
adaptive,elastic_net,texture_nature,35.0,36.18377490321402,1.1837749032140223
adaptive,elastic_net,texture_nature,60.0,54.625491910540006,5.374508089459994
adaptive,elastic_net,texture_nature,85.0,76.54681013945707,8.453189860542935
adaptive,ridge,photo_mixed,15.0,25.026293412626288,10.026293412626288
adaptive,ridge,photo_mixed,35.0,36.56785088765548,1.5678508876554815
adaptive,ridge,photo_mixed,60.0,58.71192511685841,1.28807488314159
adaptive,ridge,photo_mixed,85.0,81.20966504723992,3.7903349527600767
adaptive,elastic_net,photo_mixed,15.0,24.815232178582242,9.815232178582242
adaptive,elastic_net,photo_mixed,35.0,36.158429826159114,1.1584298261591144
adaptive,elastic_net,photo_mixed,60.0,58.05158383587617,1.9484161641238273
adaptive,elastic_net,photo_mixed,85.0,80.53260556999984,4.467394430000155
adaptive,ridge,graphics,15.0,0.0,15.0
adaptive,ridge,graphics,35.0,27.316713496658476,7.683286503341524
adaptive,ridge,graphics,60.0,58.03701213398014,1.9629878660198585
adaptive,ridge,graphics,85.0,84.62991144600014,0.37008855399986373
adaptive,elastic_net,graphics,15.0,0.0,15.0
adaptive,elastic_net,graphics,35.0,25.50341926135308,9.49658073864692
adaptive,elastic_net,graphics,60.0,57.1326724676871,2.867327532312899
adaptive,elastic_net,graphics,85.0,84.62724437074995,0.3727556292500509
