container,method,rate,rs_r_m,rs_s_m,rs_r_neg_m,rs_s_neg_m,rs_gap_m,rs_gap_neg_m,rs_gap_ratio,rs_r_gap,rs_g_gap,rs_b_gap,lsb_one_ratio,lsb_entropy,chi_square_normalized,spatial_agreement,r_chi_square_normalized,g_chi_square_normalized,b_chi_square_normalized,r_lsb_one_ratio,g_lsb_one_ratio,b_lsb_one_ratio
smooth_light,adaptive,85,0.5213976325298773,0.47860236747012275,0.7164931186409884,0.28349552598110467,0.04279526505975453,0.4329975926598837,0.09883487988204563,0.04529281734496124,0.03235714934593023,0.050735828488372096,0.5016434543816618,0.99999220671383,161.442503587553,0.501557312222683,69.88707557673513,65.60577956085109,175.40313949568468,0.5001268017199613,0.5029966369155765,0.5018069245094476
smooth_dark,sequential,15,0.6519687071019057,0.34803129289809437,0.6587813029917635,0.2600873607073643,0.3039374142038114,0.3986939422843992,0.7623326616460216,0.31345195918120156,0.29826603379360467,0.3000942496366279,0.4710552205719073,0.9975812674492341,1489.0894500124405,0.5294477851489017,596.7571033682881,537.6892759882817,517.3077324875046,0.4728996809138808,0.47092006003209785,0.46934592076974324
smooth_dark,random,15,0.6439527565810724,0.35604724341892763,0.6581406704215116,0.2572087724079457,0.2879055131621447,0.4009318980135659,0.7180908143966215,0.29673305777616277,0.28241392623546513,0.2845695554748062,0.46635504039991116,0.9967313172535184,1944.1393264767044,0.5274956187485154,724.7157461183654,677.4193672505968,674.6808844061161,0.4678623879602713,0.4663975442102713,0.4648051890291909
smooth_dark,adaptive,15,0.6494856644662468,0.3505143355337532,0.6546451065891473,0.2530236847948966,0.2989713289324935,0.40162142179425064,0.7444108125429015,0.31145530523255816,0.2883206153100775,0.29713806625484496,0.46078538525012114,0.9955583273831847,2673.2174181983314,0.5379370963467142,985.3383015817001,916.4429898560295,921.6808087671376,0.4624449264171512,0.4609521673631298,0.45895906197008235
smooth_dark,sequential,35,0.6171272534116602,0.38287274658833975,0.6912141548570737,0.2395013222706718,0.2342545068233204,0.4517128325864019,0.5185916580718639,0.24124121850775193,0.2296871214874031,0.2318351804748062,0.48156501710876937,0.9990191819467006,655.7647756538207,0.5200245869373531,288.7647137612788,243.44850342173476,228.68673882341835,0.48269937204760177,0.4815318972565407,0.4804637820221657
smooth_dark,random,35,0.6027327347787468,0.3972672652212532,0.6907744493903424,0.23450842569040697,0.20546546955749354,0.4562660236999354,0.4503194603256684,0.21184403766957363,0.2020008175872093,0.20255155341569767,0.4743739086220123,0.9981043438378093,1134.7059686518428,0.5159556232887484,424.4819467311343,397.7711448045911,391.3012563129768,0.4752327379330184,0.4743330608042636,0.4735559271287548
smooth_dark,adaptive,35,0.6036212930999677,0.39637870690003235,0.6867117475169574,0.22068735364179584,0.2072425861999354,0.46602439387516154,0.4447033007792538,0.21868943798449614,0.19466524345930233,0.20837307715600775,0.46139423853359174,0.9956953176066099,2623.3516707004956,0.5373185431670987,936.142346614281,886.5065165984375,903.5594148717455,0.46314328215843026,0.4613945539607558,0.45964487948158916
smooth_dark,sequential,60,0.5723135699289406,0.42768643007105944,0.7244018239260335,0.21056876564518734,0.14462713985788114,0.5138330582808462,0.2814671760158182,0.1502505753391473,0.14117762839147288,0.14245321584302326,0.48504362673106427,0.9993544618555807,427.37091216925774,0.5148647392183322,187.2049526496543,144.42691135672084,142.18512080443207,0.4854142536488614,0.4853579499000727,0.48435867664425875
smooth_dark,random,60,0.5576332742853682,0.44236672571463176,0.7288171733688631,0.2076450712613049,0.11526654857073643,0.5211721021075583,0.22116791766982952,0.11816027737403101,0.11380359738372094,0.11383577095445736,0.4842655467740633,0.9992855373200442,429.33651264413646,0.5060122879873414,157.22288742308098,152.50200557809782,150.19081369645005,0.4853655201520107,0.4839179460392442,0.4835131741309351
smooth_dark,adaptive,60,0.5543011017239987,0.4456988982760013,0.7212052850452196,0.18688712502018734,0.10860220344799743,0.5343181600250323,0.203253813126826,0.11965729469476744,0.09855521741763566,0.10759409823158915,0.4621197998677729,0.9958557564480106,2499.6473860437804,0.5332480202253466,874.4479254311462,837.2139701630084,836.7523871584314,0.46252725290697677,0.4624484749727471,0.46138367172359496
smooth_dark,sequential,85,0.5263933679546189,0.4736066320453811,0.761390705749354,0.18114067294492894,0.05278673590923772,0.580250032804425,0.09097239625151327,0.055930913880813955,0.051559093386627904,0.05087020046027132,0.4906609113826308,0.9997483257503057,216.296737609787,0.5076417508826255,97.01500795868918,64.93835820453492,71.75561684083544,0.49153054407400676,0.4909130954003149,0.48953909467357076
smooth_dark,random,85,0.5193930929021318,0.48060690709786824,0.7652480645389211,0.18104541394137597,0.038786185804263566,0.5842026505975452,0.06639166351708872,0.03992550872093023,0.03895462390988372,0.037478424781976744,0.49427547011264533,0.9999054430016778,62.06319895937508,0.5007359014483058,24.133500414014804,22.272181438214307,21.68239094289267,0.4946196800054506,0.4943478606468023,0.49385886968568316
smooth_dark,adaptive,85,0.5179698855377907,0.4820301144622093,0.7490452019743218,0.16640643925629844,0.03593977107558139,0.5826387627180233,0.0616844833802707,0.037516276041666664,0.03519977894864341,0.03510325823643411,0.47063877785852715,0.9975111274180058,1747.3498419836615,0.5198001613472689,579.7019812934727,593.8524001789923,590.3944281766333,0.47051481498304265,0.4711949548055959,0.4702065637869428
texture_nature,sequential,15,0.5516884185239018,0.4483115814760981,0.569144788638566,0.4173255940124354,0.10337683704780361,0.15181919462613047,0.6809207314159393,0.10048184653585271,0.1025409550629845,0.10710770954457365,0.49305886754077843,0.9998609794029754,351.60657493817524,0.5039794830281433,11.046149793874807,5.108822370037686,377.9000208483776,0.49961486343265504,0.49850676780523256,0.4810549713844477
texture_nature,random,15,0.55464964874031,0.4453503512596899,0.5661100638929263,0.42128262778585274,0.10929929748062013,0.14482743610707363,0.7546864076210885,0.10836058624031007,0.10830570191375968,0.11123160428779069,0.4938576079770268,0.9998911344376396,254.16398481155645,0.5029862486389188,9.061345171140289,4.200436312040207,272.9199877200701,0.4994388550750969,0.4983813855075097,0.4837525833484738
